,logFC,AveExpr,t,P.Value,adj.P.Val,B
LTB4R,0.179151598328843,7.23184478909459,3.47925174615613,0.000677593628126527,0.00126932157777032,-1.63997500618321
GOLGA8A,0.191269214531851,6.9497633219053,3.47923651485267,0.000677628944403468,0.00126932157777032,-1.64002382126095
PACS2,0.114435436024333,7.17221990517858,3.4791891394458,0.000677738803120168,0.00126935143073297,-1.64017565441231
UNC50,0.127617814442739,8.17873544912567,3.47900160186378,0.000678173847887633,0.00126999023890832,-1.64077667552413
GRIK1,-0.0441058752979539,4.18672851564111,-3.47827451433963,0.000679863009272034,0.001272977080952,-1.64310659255
GAGE12B /// GAGE12C /// GAGE12D /// GAGE12E /// GAGE12F /// GAGE12G /// GAGE12H /// GAGE12I /// GAGE2A /// GAGE2C /// GAGE4 /// GAGE5 /// GAGE6 /// GAGE7,0.642764347881288,4.62836134768239,3.47704500188554,0.000682728399076437,0.00127816516325226,-1.64704558115414
CNNM3,0.122746521565231,6.82857105085572,3.47687059040343,0.000683135784663171,0.00127875071048792,-1.64760424899884
LSM12,0.110490962036682,7.28881497100742,3.47635519939437,0.000684340956429682,0.00128082925164758,-1.64925499202768
EDDM3A,-0.0362174695503329,3.54601739363386,-3.47579305533879,0.000685657732069047,0.00128311606880548,-1.65105524717038
SSX4 /// SSX4B,0.0862939782349019,4.33508703129293,3.47568605511037,0.000685908640802445,0.00128340790259519,-1.65139788573268
ACSBG1,-0.0544087186658198,4.25289804236616,-3.47355301239467,0.000690928532645951,0.00129262169417359,-1.65822652556071
PPP1R10,0.137378421145795,7.21563993710712,3.47079799278547,0.000697463284824296,0.00130466661514192,-1.66704115637045
HCG9,-0.07401907998364,5.7306795329813,-3.46995947435463,0.000699463703156459,0.00130822750458892,-1.66972281977536
PVRL1,-0.0540534607558223,5.37165275198377,-3.46839328022456,0.000703214553801065,0.00131506084054537,-1.67473021081782
GPR64,-0.169887275946153,4.81952730592678,-3.46762790713215,0.00070505439898177,0.00131831906505792,-1.67717655264067
POLR2J4,0.108978466921742,5.07688814530568,3.46528947245885,0.000710703712252525,0.00132869839135328,-1.6846480343556
TRIL,-0.193710120228869,5.80596230578408,-3.46511242805783,0.000711133152614203,0.00132931736619377,-1.68521353351752
ST8SIA4,0.105542977469192,4.33659456447479,3.46493615236374,0.000711560970583576,0.00132993313752414,-1.68577655335134
DENND1B,-0.185226268073351,7.17026133360486,-3.46484009805016,0.000711794194456854,0.00133018508546521,-1.68608333817198
