"","ME9","ME5","ME12","ME2","ME4","ME6","ME11","ME10","ME1","ME13","ME7","ME3","ME8","ME0"
"KRT19",0.124575342726253,0.0237374100644106,0.0686451841755507,0.148862143910067,0.0563766104144563,0.00333983836775463,-0.153649789007049,-0.100927997856501,-0.180400345111392,-0.0892279963618523,-0.0378911595838706,-0.0471268696869415,-0.138945598932179,0.15180211015721
"KRT19P2",0.157170755753273,0.0985443200805313,0.042445502905756,0.00196010439105089,-0.0104263479006124,-0.00774145921977634,-0.131351870670325,-0.121836750766648,-0.0589905751944708,-0.0803199537125741,-0.00306081816360103,0.0130982714335003,-0.021188842925123,0.128163009033095
"KRT19P2 /// MIR492",0.0120006046985776,-0.0133493079963815,0.0728116870493519,0.166355388354974,0.10872974765894,0.0863860789583373,-0.0357256256313007,-0.102312476300347,-0.155411008994909,-0.123251927674329,0.0812259825842796,-0.116214030631209,-0.0711126595950727,0.203215038301594
"KRT2",0.207629376688519,0.246023558010127,0.201064895546663,0.41652796840123,0.444486226734347,0.0209324227303975,-0.301216269112392,-0.322456451006114,-0.533710683960613,-0.506758545997536,-0.235529319556444,-0.356735458198958,-0.333927301060963,0.544014940672379
"KRT20",-0.0438598296494354,0.570994501469806,0.0713722725843954,0.0515859257808155,0.0543839050800461,-0.0326412313888234,0.0117005342026558,0.00958779178859382,-0.0171841138453041,0.0226937991439572,0.0131051135848797,-0.0259516424244027,-0.0182485904837671,0.0661857164462823
"KRT23",0.046717897168321,-0.150828166302761,0.0287022957777077,-0.175856484093993,-0.224867721884656,-0.00244788864377284,0.0739766477135542,0.118872458179136,0.0997705831606957,0.0103702834157926,0.193903384958236,0.0992478261126088,0.147397002214169,-0.104049495037063
"KRT24",0.325297018486928,0.165513963962813,0.228860124725377,0.328683466849472,0.267850226527091,0.0597694836048358,-0.294476013777106,-0.371577120138328,-0.43949708654194,-0.315691289483252,-0.238206924684482,-0.24467422057055,-0.380548115706143,0.384752162122188
"KRT3",0.256824684333076,0.22256476265915,0.234146716693476,0.420466668713274,0.432618646785638,0.0802871227269727,-0.420770392556966,-0.496286094305799,-0.580933019578107,-0.434499364800235,-0.173624344628783,-0.316393986887227,-0.37633912893828,0.623097353164938
"KRT31",0.253767926798867,-0.0279211838439805,0.0412182290859655,0.118662425308939,0.147687711462862,0.177644997731098,-0.105485383578408,-0.106956819773932,-0.201733819378047,-0.170810782631105,0.0409158927252256,-0.102839894590715,-0.150801772344843,0.21913192777381
"KRT32",0.265482859316864,0.296172562151038,0.419629204226302,0.721704161590404,0.681631835034109,-0.0467776479131739,-0.407627462062879,-0.530354766510157,-0.784420571743694,-0.558886868165206,-0.465448909950081,-0.556481912261565,-0.540106475490901,0.758003893358451
"KRT33A",0.294828369202214,0.15856733427747,0.203360412948929,0.442109865764591,0.459992760034049,0.118456353603362,-0.254762588970659,-0.32649519358308,-0.556075322282797,-0.424074863712925,-0.198985307055644,-0.361570513452698,-0.413600849329366,0.546568674028376
